# DerivedNormalizationProps-14.0.0.txt
# Date: 2021-06-04, 02:19:20 GMT
# © 2021 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: FC_NFKC_Closure  (DEPRECATED as of Unicode 6.0.0)
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9      # Lm  GREEK YPOGEGRAMMENI
3205          ; NFKC_CF; 0028 1107 0029 # So       PARENTHESIZED HANGUL PIEUP
3206          ; NFKC_CF; 0028 1109 0029 # So       PARENTHESIZED HANGUL SIOS
3207          ; NFKC_CF; 0028 110B 0029 # So       PARENTHESIZED HANGUL IEUNG
3208          ; NFKC_CF; 0028 110C 0029 # So       PARENTHESIZED HANGUL CIEUC
3209          ; NFKC_CF; 0028 110E 0029 # So       PARENTHESIZED HANGUL CHIEUCH
320A          ; NFKC_CF; 0028 110F 0029 # So       PARENTHESIZED HANGUL KHIEUKH
320B          ; NFKC_CF; 0028 1110 0029 # So       PARENTHESIZED HANGUL THIEUTH
320C          ; NFKC_CF; 0028 1111 0029 # So       PARENTHESIZED HANGUL PHIEUPH
320D          ; NFKC_CF; 0028 1112 0029 # So       PARENTHESIZED HANGUL HIEUH
320E          ; NFKC_CF; 0028 AC00 0029 # So       PARENTHESIZED HANGUL KIYEOK A
320F          ; NFKC_CF; 0028 B098 0029 # So       PARENTHESIZED HANGUL NIEUN A
3210          ; NFKC_CF; 0028 B2E4 0029 # So       PARENTHESIZED HANGUL TIKEUT A
3211          ; NFKC_CF; 0028 B77C 0029 # So       PARENTHESIZED HANGUL RIEUL A
3212          ; NFKC_CF; 0028 B9C8 0029 # So       PARENTHESIZED HANGUL MIEUM A
3213          ; NFKC_CF; 0028 BC14 0029 # So       PARENTHESIZED HANGUL PIEUP A
3214          ; NFKC_CF; 0028 C0AC 0029 # So       PARENTHESIZED HANGUL SIOS A
3215          ; NFKC_CF; 0028 C544 0029 # So       PARENTHESIZED HANGUL IEUNG A
3216          ; NFKC_CF; 0028 C790 0029 # So       PARENTHESIZED HANGUL CIEUC A
3217          ; NFKC_CF; 0028 CC28 0029 # So       PARENTHESIZED HANGUL CHIEUCH A
3218          ; NFKC_CF; 0028 CE74 0029 # So       PARENTHESIZED HANGUL KHIEUKH A
3219          ; NFKC_CF; 0028 D0C0 0029 # So       PARENTHESIZED HANGUL THIEUTH A
321A          ; NFKC_CF; 0028 D30C 0029 # So       PARENTHESIZED HANGUL PHIEUPH A
321B          ; NFKC_CF; 0028 D558 0029 # So       PARENTHESIZED HANGUL HIEUH A
321C          ; NFKC_CF; 0028 C8FC 0029 # So       PARENTHESIZED HANGUL CIEUC U
321D          ; NFKC_CF; 0028 C624 C804 0029 #So   PARENTHESIZED KOREAN CHARACTER OJEON
321E          ; NFKC_CF; 0028 C624 D6C4 0029 #So   PARENTHESIZED KOREAN CHARACTER O HU
3220          ; NFKC_CF; 0028 4E00 0029 # No       PARENTHESIZED IDEOGRAPH ONE
3221          ; NFKC_CF; 0028 4E8C 0029 # No       PARENTHESIZED IDEOGRAPH TWO
3222          ; NFKC_CF; 0028 4E09 0029 # No       PARENTHESIZED IDEOGRAPH THREE
3223          ; NFKC_CF; 0028 56DB 0029 # No       PARENTHESIZED IDEOGRAPH FOUR
3224          ; NFKC_CF; 0028 4E94 0029 # No       PARENTHESIZED IDEOGRAPH FIVE
3225          ; NFKC_CF; 0028 516D 0029 # No       PARENTHESIZED IDEOGRAPH SIX
3226          ; NFKC_CF; 0028 4E03 0029 # No       PARENTHESIZED IDEOGRAPH SEVEN
3227          ; NFKC_CF; 0028 516B 0029 # No       PARENTHESIZED IDEOGRAPH EIGHT
3228          ; NFKC_CF; 0028 4E5D 0029 # No       PARENTHESIZED IDEOGRAPH NINE
3229          ; NFKC_CF; 0028 5341 0029 # No       PARENTHESIZED IDEOGRAPH TEN
322A          ; NFKC_CF; 0028 6708 0029 # So       PARENTHESIZED IDEOGRAPH MOON
322B          ; NFKC_CF; 0028 706B 0029 # So       PARENTHESIZED IDEOGRAPH FIRE
322C          ; NFKC_CF; 0028 6C34 0029 # So       PARENTHESIZED IDEOGRAPH WATER
322D          ; NFKC_CF; 0028 6728 0029 # So       PARENTHESIZED IDEOGRAPH WOOD
322E          ; NFKC_CF; 0028 91D1 0029 # So       PARENTHESIZED IDEOGRAPH METAL
322F          ; NFKC_CF; 0028 571F 0029 # So       PARENTHESIZED IDEOGRAPH EARTH
3230          ; NFKC_CF; 0028 65E5 0029 # So       PARENTHESIZED IDEOGRAPH SUN
3231          ; NFKC_CF; 0028 682A 0029 # So       PARENTHESIZED IDEOGRAPH STOCK
3232          ; NFKC_CF; 0028 6709 0029 # So       PARENTHESIZED IDEOGRAPH HAVE
3233          ; NFKC_CF; 0028 793E 0029 # So       PARENTHESIZED IDEOGRAPH SOCIETY
3234          ; NFKC_CF; 0028 540D 0029 # So       PARENTHESIZED IDEOGRAPH NAME
3235          ; NFKC_CF; 0028 7279 0029 # So       PARENTHESIZED IDEOGRAPH SPECIAL
3236          ; NFKC_CF; 0028 8CA1 0029 # So       PARENTHESIZED IDEOGRAPH FINANCIAL
3237          ; NFKC_CF; 0028 795D 0029 # So       PARENTHESIZED IDEOGRAPH CONGRATULATION
3238          ; NFKC_CF; 0028 52B4 0029 # So       PARENTHESIZED IDEOGRAPH LABOR
3239          ; NFKC_CF; 0028 4EE3 0029 # So       PARENTHESIZED IDEOGRAPH REPRESENT
323A          ; NFKC_CF; 0028 547C 0029 # So       PARENTHESIZED IDEOGRAPH CALL
323B          ; NFKC_CF; 0028 5B66 0029 # So       PARENTHESIZED IDEOGRAPH STUDY
323C          ; NFKC_CF; 0028 76E3 0029 # So       PARENTHESIZED IDEOGRAPH SUPERVISE
323D          ; NFKC_CF; 0028 4F01 0029 # So       PARENTHESIZED IDEOGRAPH ENTERPRISE
323E          ; NFKC_CF; 0028 8CC7 0029 # So       PARENTHESIZED IDEOGRAPH RESOURCE
323F          ; NFKC_CF; 0028 5354 0029 # So       PARENTHESIZED IDEOGRAPH ALLIANCE
3240          ; NFKC_CF; 0028 796D 0029 # So       PARENTHESIZED IDEOGRAPH FESTIVAL
3241          ; NFKC_CF; 0028 4F11 0029 # So       PARENTHESIZED IDEOGRAPH REST
3242          ; NFKC_CF; 0028 81EA 0029 # So       PARENTHESIZED IDEOGRAPH SELF
3243          ; NFKC_CF; 0028 81F3 0029 # So       PARENTHESIZED IDEOGRAPH REACH
3244          ; NFKC_CF; 554F           # So       CIRCLED IDEOGRAPH QUESTION
3245          ; NFKC_CF; 5E7C           # So       CIRCLED IDEOGRAPH KINDERGARTEN
3246          ; NFKC_CF; 6587           # So       CIRCLED IDEOGRAPH SCHOOL
3247          ; NFKC_CF; 7B8F           # So       CIRCLED IDEOGRAPH KOTO
3250          ; NFKC_CF; 0070 0074 0065 # So       PARTNERSHIP SIGN
3251          ; NFKC_CF; 0032 0031      # No       CIRCLED NUMBER TWENTY ONE
3252          ; NFKC_CF; 0032 0032      # No       CIRCLED NUMBER TWENTY TWO
3253          ; NFKC_CF; 0032 0033      # No       CIRCLED NUMBER TWENTY THREE
3254          ; NFKC_CF; 0032 0034      # No       CIRCLED NUMBER TWENTY FOUR
3255          ; NFKC_CF; 0032 0035      # No       CIRCLED NUMBER TWENTY FIVE
3256          ; NFKC_CF; 0032 0036      # No       CIRCLED NUMBER TWENTY SIX
3257          ; NFKC_CF; 0032 0037      # No       CIRCLED NUMBER TWENTY SEVEN
3258          ; NFKC_CF; 0032 0038      # No       CIRCLED NUMBER TWENTY EIGHT
3259          ; NFKC_CF; 0032 0039      # No       CIRCLED NUMBER TWENTY NINE
325A          ; NFKC_CF; 0033 0030      # No       CIRCLED NUMBER THIRTY
325B          ; NFKC_CF; 0033 0031      # No       CIRCLED NUMBER THIRTY ONE
325C          ; NFKC_CF; 0033 0032      # No       CIRCLED NUMBER THIRTY TWO
325D          ; NFKC_CF; 0033 0033      # No       CIRCLED NUMBER THIRTY THREE
325E          ; NFKC_CF; 0033 0034      # No       CIRCLED NUMBER THIRTY FOUR
325F          ; NFKC_CF; 0033 0035      # No       CIRCLED NUMBER THIRTY FIVE
3260          ; NFKC_CF; 1100           # So       CIRCLED HANGUL KIYEOK
3261          ; NFKC_CF; 1102           # So       CIRCLED HANGUL NIEUN
3262          ; NFKC_CF; 1103           # So       CIRCLED HANGUL TIKEUT
3263          ; NFKC_CF; 1105           # So       CIRCLED HANGUL RIEUL
3264          ; NFKC_CF; 1106           # So       CIRCLED HANGUL MIEUM
3265          ; NFKC_CF; 1107           # So       CIRCLED HANGUL PIEUP
3266          ; NFKC_CF; 1109           # So       CIRCLED HANGUL SIOS
3267          ; NFKC_CF; 110B           # So       CIRCLED HANGUL IEUNG
3268          ; NFKC_CF; 110C           # So       CIRCLED HANGUL CIEUC
3269          ; NFKC_CF; 110E           # So       CIRCLED HANGUL CHIEUCH
326A          ; NFKC_CF; 110F           # So       CIRCLED HANGUL KHIEUKH
326B          ; NFKC_CF; 1110           # So       CIRCLED HANGUL THIEUTH
326C          ; NFKC_CF; 1111           # So       CIRCLED HANGUL PHIEUPH
326D          ; NFKC_CF; 1112           # So       CIRCLED HANGUL HIEUH
326E          ; NFKC_CF; AC00           # So       CIRCLED HANGUL KIYEOK A
326F          ; NFKC_CF; B098           # So       CIRCLED HANGUL NIEUN A
3270          ; NFKC_CF; B2E4           # So       CIRCLED HANGUL TIKEUT A
3271          ; NFKC_CF; B77C           # So       CIRCLED HANGUL RIEUL A
3272          ; NFKC_CF; B9C8           # So       CIRCLED HANGUL MIEUM A
3273          ; NFKC_CF; BC14           # So       CIRCLED HANGUL PIEUP A
3274          ; NFKC_CF; C0AC           # So       CIRCLED HANGUL SIOS A
3275          ; NFKC_CF; C544           # So       CIRCLED HANGUL IEUNG A
3276          ; NFKC_CF; C790           # So       CIRCLED HANGUL CIEUC A
3277          ; NFKC_CF; CC28           # So       CIRCLED HANGUL CHIEUCH A
3278          ; NFKC_CF; CE74           # So       CIRCLED HANGUL KHIEUKH A
3279          ; NFKC_CF; D0C0           # So       CIRCLED HANGUL THIEUTH A
327A          ; NFKC_CF; D30C           # So       CIRCLED HANGUL PHIEUPH A
327B          ; NFKC_CF; D558           # So       CIRCLED HANGUL HIEUH A
327C          ; NFKC_CF; CC38 ACE0      # So       CIRCLED KOREAN CHARACTER CHAMKO
327D          ; NFKC_CF; C8FC C758      # So       CIRCLED KOREAN CHARACTER JUEUI
327E          ; NFKC_CF; C6B0           # So       CIRCLED HANGUL IEUNG U
3280          ; NFKC_CF; 4E00           # No       CIRCLED IDEOGRAPH ONE
3281          ; NFKC_CF; 4E8C           # No       CIRCLED IDEOGRAPH TWO
3282          ; NFKC_CF; 4E09           # No       CIRCLED IDEOGRAPH THREE
3283          ; NFKC_CF; 56DB           # No       CIRCLED IDEOGRAPH FOUR
3284          ; NFKC_CF; 4E94           # No       CIRCLED IDEOGRAPH FIVE
3285          ; NFKC_CF; 516D           # No       CIRCLED IDEOGRAPH SIX
3286          ; NFKC_CF; 4E03           # No       CIRCLED IDEOGRAPH SEVEN
3287          ; NFKC_CF; 516B           # No       CIRCLED IDEOGRAPH EIGHT
3288          ; NFKC_CF; 4E5D           # No       CIRCLED IDEOGRAPH NINE
3289          ; NFKC_CF; 5341           # No       CIRCLED IDEOGRAPH TEN
328A          ; NFKC_CF; 6708           # So       CIRCLED IDEOGRAPH MOON
328B          ; NFKC_CF; 706B           # So       CIRCLED IDEOGRAPH FIRE
328C          ; NFKC_CF; 6C34           # So       CIRCLED IDEOGRAPH WATER
328D          ; NFKC_CF; 6728           # So       CIRCLED IDEOGRAPH WOOD
328E          ; NFKC_CF; 91D1           # So       CIRCLED IDEOGRAPH METAL
328F          ; NFKC_CF; 571F           # So       CIRCLED IDEOGRAPH EARTH
3290          ; NFKC_CF; 65E5           # So       CIRCLED IDEOGRAPH SUN
3291          ; NFKC_CF; 682A           # So       CIRCLED IDEOGRAPH STOCK
3292          ; NFKC_CF; 6709           # So       CIRCLED IDEOGRAPH HAVE
3293          ; NFKC_CF; 793E           # So       CIRCLED IDEOGRAPH SOCIETY
3294          ; NFKC_CF; 540D           # So       CIRCLED IDEOGRAPH NAME
3295          ; NFKC_CF; 7279           # So       CIRCLED IDEOGRAPH SPECIAL
3296          ; NFKC_CF; 8CA1           # So       CIRCLED IDEOGRAPH FINANCIAL
3297          ; NFKC_CF; 795D           # So       CIRCLED IDEOGRAPH CONGRATULATION
3298          ; NFKC_CF; 52B4           # So       CIRCLED IDEOGRAPH LABOR
3299          ; NFKC_CF; 79D8           # So       CIRCLED IDEOGRAPH SECRET
329A          ; NFKC_CF; 7537           # So       CIRCLED IDEOGRAPH MALE
329B          ; NFKC_CF; 5973           # So       CIRCLED IDEOGRAPH FEMALE
329C          ; NFKC_CF; 9069           # So       CIRCLED IDEOGRAPH SUITABLE
329D          ; NFKC_CF; 512A           # So       CIRCLED IDEOGRAPH EXCELLENT
329E          ; NFKC_CF; 5370           # So       CIRCLED IDEOGRAPH PRINT
329F          ; NFKC_CF; 6CE8           # So       CIRCLED IDEOGRAPH ATTENTION
32A0          ; NFKC_CF; 9805           # So       CIRCLED IDEOGRAPH ITEM
32A1          ; NFKC_CF; 4F11           # So       CIRCLED IDEOGRAPH REST
32A2          ; NFKC_CF; 5199           # So       CIRCLED IDEOGRAPH COPY
32A3          ; NFKC_CF; 6B63           # So       CIRCLED IDEOGRAPH CORRECT
32A4          ; NFKC_CF; 4E0A           # So       CIRCLED IDEOGRAPH HIGH
32A5          ; NFKC_CF; 4E2D           # So       CIRCLED IDEOGRAPH CENTRE
32A6          ; NFKC_CF; 4E0B           # So       CIRCLED IDEOGRAPH LOW
32A7          ; NFKC_CF; 5DE6           # So       CIRCLED IDEOGRAPH LEFT
32A8          ; NFKC_CF; 53F3           # So       CIRCLED IDEOGRAPH RIGHT
32A9          ; NFKC_CF; 533B           # So       CIRCLED IDEOGRAPH MEDICINE
32AA          ; NFKC_CF; 5B97           # So       CIRCLED IDEOGRAPH RELIGION
32AB          ; NFKC_CF; 5B66           # So       CIRCLED IDEOGRAPH STUDY
32AC          ; NFKC_CF; 76E3           # So       CIRCLED IDEOGRAPH SUPERVISE
32AD          ; NFKC_CF; 4F01           # So       CIRCLED IDEOGRAPH ENTERPRISE
32AE          ; NFKC_CF; 8CC7           # So       CIRCLED IDEOGRAPH RESOURCE
32AF          ; NFKC_CF; 5354           # So       CIRCLED IDEOGRAPH ALLIANCE
32B0          ; NFKC_CF; 591C           # So       CIRCLED IDEOGRAPH NIGHT
32B1          ; NFKC_CF; 0033 0036      # No       CIRCLED NUMBER THIRTY SIX
32B2          ; NFKC_CF; 0033 0037      # No       CIRCLED NUMBER THIRTY SEVEN
32B3          ; NFKC_CF; 0033 0038      # No       CIRCLED NUMBER THIRTY EIGHT
32B4          ; NFKC_CF; 0033 0039      # No       CIRCLED NUMBER THIRTY NINE
32B5          ; NFKC_CF; 0034 0030      # No       CIRCLED NUMBER FORTY
32B6          ; NFKC_CF; 0034 0031      # No       CIRCLED NUMBER FORTY ONE
32B7          ; NFKC_CF; 0034 0032      # No       CIRCLED NUMBER FORTY TWO
32B8          ; NFKC_CF; 0034 0033      # No       CIRCLED NUMBER FORTY THREE
32B9          ; NFKC_CF; 0034 0034      # No       CIRCLED NUMBER FORTY FOUR
32BA          ; NFKC_CF; 0034 0035      # No       CIRCLED NUMBER FORTY FIVE
32BB          ; NFKC_CF; 0034 0036      # No       CIRCLED NUMBER FORTY SIX
32BC          ; NFKC_CF; 0034 0037      # No       CIRCLED NUMBER FORTY SEVEN
32BD          ; NFKC_CF; 0034 0038      # No       CIRCLED NUMBER FORTY EIGHT
32BE          ; NFKC_CF; 0034 0039      # No       CIRCLED NUMBER FORTY NINE
32BF          ; NFKC_CF; 0035 0030      # No       CIRCLED NUMBER FIFTY
32C0          ; NFKC_CF; 0031 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY
32C1          ; NFKC_CF; 0032 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
32C2          ; NFKC_CF; 0033 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
32C3          ; NFKC_CF; 0034 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL
32C4          ; NFKC_CF; 0035 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY
32C5          ; NFKC_CF; 0036 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE
32C6          ; NFKC_CF; 0037 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY
32C7          ; NFKC_CF; 0038 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST
32C8          ; NFKC_CF; 0039 6708      # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER
32C9          ; NFKC_CF; 0031 0030 6708 # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER
32CA          ; NFKC_CF; 0031 0031 6708 # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER
32CB          ; NFKC_CF; 0031 0032 6708 # So       IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER
32CC          ; NFKC_CF; 0068 0067      # So       SQUARE HG
32CD          ; NFKC_CF; 0065 0072 0067 # So       SQUARE ERG
32CE          ; NFKC_CF; 0065 0076      # So       SQUARE EV
32CF          ; NFKC_CF; 006C 0074 0064 # So       LIMITED LIABILITY SIGN
32D0          ; NFKC_CF; 30A2           # So       CIRCLED KATAKANA A
32D1          ; NFKC_CF; 30A4           # So       CIRCLED KATAKANA I
32D2          ; NFKC_CF; 30A6           # So       CIRCLED KATAKANA U
32D3          ; NFKC_CF; 30A8           # So       CIRCLED KATAKANA E
32D4          ; NFKC_CF; 30AA           # So       CIRCLED KATAKANA O
32D5          ; NFKC_CF; 30AB           # So       CIRCLED KATAKANA KA
32D6          ; NFKC_CF; 30AD           # So       CIRCLED KATAKANA KI
32D7          ; NFKC_CF; 30AF           # So       CIRCLED KATAKANA KU
32D8          ; NFKC_CF; 30B1           # So       CIRCLED KATAKANA KE
32D9          ; NFKC_CF; 30B3           # So       CIRCLED KATAKANA KO
32DA          ; NFKC_CF; 30B5           # So       CIRCLED KATAKANA SA
32DB          ; NFKC_CF; 30B7           # So       CIRCLED KATAKANA SI
32DC          ; NFKC_CF; 30B9           # So       CIRCLED KATAKANA SU
32DD          ; NFKC_CF; 30BB           # So       CIRCLED KATAKANA SE
32DE          ; NFKC_CF; 30BD           # So       CIRCLED KATAKANA SO
32DF          ; NFKC_CF; 30BF           # So       CIRCLED KATAKANA TA
32E0          ; NFKC_CF; 30C1           # So       CIRCLED KATAKANA TI
32E1          ; NFKC_CF; 30C4           # So       CIRCLED KATAKANA TU
32E2          ; NFKC_CF; 30C6           # So       CIRCLED KATAKANA TE
32E3          ; NFKC_CF; 30C8           # So       CIRCLED KATAKANA TO
32E4          ; NFKC_CF; 30CA           # So       CIRCLED KATAKANA NA
32E5          ; NFKC_CF; 30CB           # So       CIRCLED KATAKANA NI
32E6          ; NFKC_CF; 30CC           # So       CIRCLED KATAKANA NU
32E7          ; NFKC_CF; 30CD           # So       CIRCLED KATAKANA NE
32E8          ; NFKC_CF; 30CE           # So       CIRCLED KATAKANA NO
32E9          ; NFKC_CF; 30CF           # So       CIRCLED KATAKANA HA
32EA          ; NFKC_CF; 30D2           # So       CIRCLED KATAKANA HI
32EB          ; NFKC_CF; 30D5           # So       CIRCLED KATAKANA HU
32EC          ; NFKC_CF; 30D8           # So       CIRCLED KATAKANA HE
32ED          ; NFKC_CF; 30DB           # So       CIRCLED KATAKANA HO
32EE          ; NFKC_CF; 30DE           # So       CIRCLED KATAKANA MA
32EF          ; NFKC_CF; 30DF           # So       CIRCLED KATAKANA MI
32F0          ; NFKC_CF; 30E0           # So       CIRCLED KATAKANA MU
32F1          ; NFKC_CF; 30E1           # So       CIRCLED KATAKANA ME
32F2          ; NFKC_CF; 30E2           # So       CIRCLED KATAKANA MO
32F3          ; NFKC_CF; 30E4           # So       CIRCLED KATAKANA YA
32F4          ; NFKC_CF; 30E6           # So       CIRCLED KATAKANA YU
32F5          ; NFKC_CF; 30E8           # So       CIRCLED KATAKANA YO
32F6          ; NFKC_CF; 30E9           # So       CIRCLED KATAKANA RA
32F7          ; NFKC_CF; 30EA           # So       CIRCLED KATAKANA RI
32F8          ; NFKC_CF; 30EB           # So       CIRCLED KATAKANA RU
32F9          ; NFKC_CF; 30EC           # So       CIRCLED KATAKANA RE
32FA          ; NFKC_CF; 30ED           # So       CIRCLED KATAKANA RO
32FB          ; NFKC_CF; 30EF           # So       CIRCLED KATAKANA WA
32FC          ; NFKC_CF; 30F0           # So       CIRCLED KATAKANA WI
32FD          ; NFKC_CF; 30F1           # So       CIRCLED KATAKANA WE
32FE          ; NFKC_CF; 30F2           # So       CIRCLED KATAKANA WO
32FF          ; NFKC_CF; 4EE4 548C      # So       SQUARE ERA NAME REIWA
3300          ; NFKC_CF; 30A2 30D1 30FC 30C8 #So   SQUARE APAATO
3301          ; NFKC_CF; 30A2 30EB 30D5 30A1 #So   SQUARE ARUHUA
3302          ; NFKC_CF; 30A2 30F3 30DA 30A2 #So   SQUARE ANPEA
3303          ; NFKC_CF; 30A2 30FC 30EB # So       SQUARE AARU
3304          ; NFKC_CF; 30A4 30CB 30F3 30B0 #So   SQUARE ININGU
3305          ; NFKC_CF; 30A4 30F3 30C1 # So       SQUARE INTI
3306          ; NFKC_CF; 30A6 30A9 30F3 # So       SQUARE UON
3307          ; NFKC_CF; 30A8 30B9 30AF 30FC 30C9 #So SQUARE ESUKUUDO
3308          ; NFKC_CF; 30A8 30FC 30AB 30FC #So   SQUARE EEKAA
3309          ; NFKC_CF; 30AA 30F3 30B9 # So       SQUARE ONSU
330A          ; NFKC_CF; 30AA 30FC 30E0 # So       SQUARE OOMU
330B          ; NFKC_CF; 30AB 30A4 30EA # So       SQUARE KAIRI
330C          ; NFKC_CF; 30AB 30E9 30C3 30C8 #So   SQUARE KARATTO
330D          ; NFKC_CF; 30AB 30ED 30EA 30FC #So   SQUARE KARORII
330E          ; NFKC_CF; 30AC 30ED 30F3 # So       SQUARE GARON
330F          ; NFKC_CF; 30AC 30F3 30DE # So       SQUARE GANMA
3310          ; NFKC_CF; 30AE 30AC      # So       SQUARE GIGA
3311          ; NFKC_CF; 30AE 30CB 30FC # So       SQUARE GINII
3312          ; NFKC_CF; 30AD 30E5 30EA 30FC #So   SQUARE KYURII
3313          ; NFKC_CF; 30AE 30EB 30C0 30FC #So   SQUARE GIRUDAA
3314          ; NFKC_CF; 30AD 30ED      # So       SQUARE KIRO
3315          ; NFKC_CF; 30AD 30ED 30B0 30E9 30E0 #So SQUARE KIROGURAMU
3316          ; NFKC_CF; 30AD 30ED 30E1 30FC 30C8 30EB #So SQUARE KIROMEETORU
3317          ; NFKC_CF; 30AD 30ED 30EF 30C3 30C8 #So SQUARE KIROWATTO
3318          ; NFKC_CF; 30B0 30E9 30E0 # So       SQUARE GURAMU
3319          ; NFKC_CF; 30B0 30E9 30E0 30C8 30F3 #So SQUARE GURAMUTON
331A          ; NFKC_CF; 30AF 30EB 30BC 30A4 30ED #So SQUARE KURUZEIRO
331B          ; NFKC_CF; 30AF 30ED 30FC 30CD #So   SQUARE KUROONE
331C          ; NFKC_CF; 30B1 30FC 30B9 # So       SQUARE KEESU
331D          ; NFKC_CF; 30B3 30EB 30CA # So       SQUARE KORUNA
331E          ; NFKC_CF; 30B3 30FC 30DD # So       SQUARE KOOPO
331F          ; NFKC_CF; 30B5 30A4 30AF 30EB #So   SQUARE SAIKURU
3320          ; NFKC_CF; 30B5 30F3 30C1 30FC 30E0 #So SQUARE SANTIIMU
3321          ; NFKC_CF; 30B7 30EA 30F3 30B0 #So   SQUARE SIRINGU
3322          ; NFKC_CF; 30BB 30F3 30C1 # So       SQUARE SENTI
3323          ; NFKC_CF; 30BB 30F3 30C8 # So       SQUARE SENTO
3324          ; NFKC_CF; 30C0 30FC 30B9 # So       SQUARE DAASU
3325          ; NFKC_CF; 30C7 30B7      # So       SQUARE DESI
3326          ; NFKC_CF; 30C9 30EB      # So       SQUARE DORU
3327          ; NFKC_CF; 30C8 30F3      # So       SQUARE TON
3328          ; NFKC_CF; 30CA 30CE      # So       SQUARE NANO
3329          ; NFKC_CF; 30CE 30C3 30C8 # So       SQUARE NOTTO
332A          ; NFKC_CF; 30CF 30A4 30C4 # So       SQUARE HAITU
332B          ; NFKC_CF; 30D1 30FC 30BB 30F3 30C8 #So SQUARE PAASENTO
332C          ; NFKC_CF; 30D1 30FC 30C4 # So       SQUARE PAATU
332D          ; NFKC_CF; 30D0 30FC 30EC 30EB #So   SQUARE BAARERU
332E          ; NFKC_CF; 30D4 30A2 30B9 30C8 30EB #So SQUARE PIASUTORU
332F          ; NFKC_CF; 30D4 30AF 30EB # So       SQUARE PIKURU
3330          ; NFKC_CF; 30D4 30B3      # So       SQUARE PIKO
3331          ; NFKC_CF; 30D3 30EB      # So       SQUARE BIRU
3332          ; NFKC_CF; 30D5 30A1 30E9 30C3 30C9 #So SQUARE HUARADDO
3333          ; NFKC_CF; 30D5 30A3 30FC 30C8 #So   SQUARE HUIITO
3334          ; NFKC_CF; 30D6 30C3 30B7 30A7 30EB #So SQUARE BUSSYERU
3335          ; NFKC_CF; 30D5 30E9 30F3 # So       SQUARE HURAN
3336          ; NFKC_CF; 30D8 30AF 30BF 30FC 30EB #So SQUARE HEKUTAARU
3337          ; NFKC_CF; 30DA 30BD      # So       SQUARE PESO
3338          ; NFKC_CF; 30DA 30CB 30D2 # So       SQUARE PENIHI
3339          ; NFKC_CF; 30D8 30EB 30C4 # So       SQUARE HERUTU
333A          ; NFKC_CF; 30DA 30F3 30B9 # So       SQUARE PENSU
333B          ; NFKC_CF; 30DA 30FC 30B8 # So       SQUARE PEEZI
333C          ; NFKC_CF; 30D9 30FC 30BF # So       SQUARE BEETA
333D          ; NFKC_CF; 30DD 30A4 30F3 30C8 #So   SQUARE POINTO
333E          ; NFKC_CF; 30DC 30EB 30C8 # So       SQUARE BORUTO
333F          ; NFKC_CF; 30DB 30F3      # So       SQUARE HON
3340          ; NFKC_CF; 30DD 30F3 30C9 # So       SQUARE PONDO
3341          ; NFKC_CF; 30DB 30FC 30EB # So       SQUARE HOORU
3342          ; NFKC_CF; 30DB 30FC 30F3 # So       SQUARE HOON
3343          ; NFKC_CF; 30DE 30A4 30AF 30ED #So   SQUARE MAIKURO
3344          ; NFKC_CF; 30DE 30A4 30EB # So       SQUARE MAIRU
3345          ; NFKC_CF; 30DE 30C3 30CF # So       SQUARE MAHHA
3346          ; NFKC_CF; 30DE 30EB 30AF # So       SQUARE MARUKU
3347          ; NFKC_CF; 30DE 30F3 30B7 30E7 30F3 #So SQUARE MANSYON
3348          ; NFKC_CF; 30DF 30AF 30ED 30F3 #So   SQUARE MIKURON
3349          ; NFKC_CF; 30DF 30EA      # So       SQUARE MIRI
334A          ; NFKC_CF; 30DF 30EA 30D0 30FC 30EB #So SQUARE MIRIBAARU
334B          ; NFKC_CF; 30E1 30AC      # So       SQUARE MEGA
334C          ; NFKC_CF; 30E1 30AC 30C8 30F3 #So   SQUARE MEGATON
